frequency,words
135043,sobre
133084,entre
122379,paulo
108366,ainda
106426,mesmo
105545,muito
102745,disse
68840,tempo
68789,ontem
67213,foram
65175,folha
65118,todos
59334,fazer
55423,parte
53020,maior
51855,tinha
51350,entao
51063,menos
49780,outro
49478,estao
49079,assim
43840,pelos
43824,mundo
43783,antes
41860,pouco
41023,minha
39724,desde
39625,agora
38873,havia
38362,forma
37660,sendo
35553,final
35112,vezes
35019,outra
34461,coisa
34400,grupo
33706,gente
33161,local
32831,homem
32562,seria
31115,todas
30658,noite
30483,quase
29425,mesma
29074,lugar
28608,meses
27376,cerca
27353,dizer
27286,cinco
27135,marco
26873,poder
26297,olhos
26256,pelas
25678,filho
25110,banco
25037,conta
25029,podem
25003,porem
24915,desse
24814,livro
24801,ficou
24572,tanto
24330,abril
24188,maria
23859,silva
23856,nunca
23749,cargo
23694,julho
23612,horas
22680,apoio
22503,ponto
22449,deste
22277,volta
21748,tarde
21600,setor
21560,fosse
21418,morte
21163,feito
20699,ideia
20650,junho
20327,valor
20308,filme
19901,epoca
19882,teria
19862,falta
18997,estar
18968,disso
18578,media
18565,dessa
18545,causa
18529,plano
18287,nossa
18080,saber
18037,junto
17908,nosso
17820,prazo
17537,ficar
17316,serao
17177,geral
17043,algum
17027,nesse
16967,quais
16623,papel
16593,falar
16578,novos
16548,corpo
16416,pedro
16350,votos
16331,feita
16285,certo
16196,minas
16127,neste
15907,campo
15869,tendo
15850,devem
15806,terra
15752,juros
15660,total
15506,forte
15494,carro
15247,forca
15242,crise
14964,texto
14964,saude
14805,vista
14797,linha
14707,preco
14683,atual
14682,esses
14667,amigo
14664,tenho
14418,deles
14401,chefe
14390,desta
14381,obras
14366,novas
14225,essas
14225,curso
14199,filha
14070,unico
14013,uniao
13931,lider
13757,casos
13698,longo
13682,venda
13631,tenha
13587,dados
13578,ordem
13548,favor
13344,velho
13325,queda
13186,manha
12944,fundo
12870,porta
12814,autor
12778,houve
12691,muita
12681,posse
12612,razao
12540,santa
12490,menor
12362,podia
12254,serie
12210,costa
12147,acoes
11895,bahia
11852,unica
11596,crime
11361,nessa
11214,nesta
11169,longe
11076,passa
11025,jorge
10973,claro
10967,torno
10618,carta
10610,olhar
10535,nivel
10387,areas
10349,estou
10329,livre
10231,fazem
9994,porto
9979,comum
9963,atras
9958,gomes
9803,levar
9767,fazia
9760,idade
9691,pagar
9601,temos
9562,globo
9406,custo
9372,acima
9332,risco
9293,renda
9288,festa
9217,perto
9216,dolar
9212,levou
9067,norte
9050,turno
8992,criar
8980,pecas
8956,tomar
8918,vinha
8905,mario
8898,reais
8835,certa
8780,lista
8726,paris
8722,chega
8663,nomes
8641,prova
8611,moeda
8611,dizia
8574,busca
8551,alves
8445,banda
8382,orgao
8375,rosto
8292,vamos
8277,irmao
8274,saida
8266,baixo
8265,ambos
8157,santo
8137,greve
8133,gosto
8050,facil
8043,pediu
8028,capaz
8021,jogos
7974,visao
7974,quero
7968,casas
7905,serem
7893,sejam
7890,marca
7870,pobre
7826,cesar
7822,posto
7812,disco
7806,civil
7716,sabia
7672,passo
7651,souza
7572,haver
7527,preso
7398,tomou
7389,delas
7344,troca
7273,estes
7233,ajuda
7228,baixa
7205,andar
7195,velha
7190,estas
7161,jogar
7161,deixa
7151,clube
7129,japao
7039,jovem
6987,maluf
6954,dando
6943,taxas
6924,visto
6829,posso
6772,armas
6746,acaba
6678,lojas
6657,falou
6617,ouvir
6495,covas
6480,meios
6468,pedir
6381,mudar
6362,possa
6277,serra
6266,obter
6255,igual
6249,trata
6241,andre
6154,resto
6128,abrir
6092,rapaz
6073,viver
6015,morto
6000,medio
5999,preve
5983,radio
5920,neves
5849,grave
5828,feliz
5806,criou
5790,dizem
5788,massa
5758,devia
5752,padre
5629,negro
5598,sinal
5591,senao
5559,corte
5544,poeta
5485,cunha
5461,oeste
5453,terao
5445,praca
5421,fatos
5357,votou
5347,temas
5345,braco
5303,aires
5296,legal
5285,lopes
5263,praia
5254,rocha
5239,opcao
5230,abriu
5218,carne
5207,custa
5164,tirar
5147,entra
5139,sorte
5095,jeito
5064,clima
5015,ceara
4996,natal
4993,tipos
4975,perda
4973,china
4961,dutra
4870,sonho
4869,hotel
4855,ficam
4854,golpe
4825,fonte
4825,chapa
4824,ritmo
4808,video
4762,longa
4737,faixa
4730,pinto
4714,voces
4683,usado
4677,ponta
4677,canto
4669,ferro
4654,chama
4651,moral
4633,ideal
4617,daqui
4607,ganha
4604,alias
4590,cores
4526,peito
4509,vinte
4502,curto
4498,enfim
4494,exame
4485,caixa
4482,ramos
4461,gesto
4451,graca
4448,julio
4421,palco
4418,casal
4385,nacao
4375,arena
4364,preto
4350,breve
4334,cheio
4330,leite
4317,bolsa
4313,altos
4303,frase
4297,fotos
4297,deram
4256,parar
4219,sousa
4215,tanta
4210,reune
4170,lucro
4167,jesus
4166,pasta
4108,vasco
4083,danca
4072,atriz
4032,aguas
4006,vagas
3995,mudou
3992,torna
3979,midia
3966,gosta
3944,tenta
3926,vendo
3923,carga
3897,tocar
3889,verde
3888,termo
3885,negra
3839,major
3836,senna
3822,roupa
3821,matar
3800,etapa
3797,vigor
3786,chuva
3782,goias
3776,tiros
3771,artur
3766,notas
3758,chico
3756,calor
3730,exige
3720,acaso
3717,basta
3707,serio
3707,pista
3686,dupla
3680,oscar
3679,chile
3677,somos
3673,redes
3670,paula
3649,aviao
3635,aulas
3625,jobim
3622,civis
3617,pensa
3616,culpa
3573,sabem
3549,regra
3546,assis
3538,subiu
3535,ampla
3518,arts.
3512,ouviu
3512,honra
3504,votar
3496,verao
3483,amiga
3477,shows
3464,serve
3453,terem
3452,david
3444,perde
3438,cenas
3435,malan
3391,secao
3388,helio
3367,cheia
3359,negou
3356,museu
3353,fugir
3353,diabo
3330,vento
3321,lanca
3313,belem
3310,sexta
3308,exito
3284,clara
3273,achar
3268,soube
3243,pedra
3241,erros
3240,rural
3213,vindo
3193,atuar
3186,subir
3181,bicho
3175,mauro
3165,altas
3161,tiver
3155,virus
3129,leste
3128,bases
3127,faria
3121,virou
3098,fator
3094,humor
3091,comer
3071,celso
3060,viuva
3048,lados
3038,passe
3026,bolso
3025,bloco
3012,atuou
3011,pouca
3007,teste
3007,cujos
2996,saldo
2991,alice
2973,nisso
2945,socio
2937,beira
2936,pegar
2926,rossi
2926,feira
2920,achou
2915,cesta
2903,ganho
2897,dever
2881,janio
2872,anual
2852,ambas
2835,vivem
2833,bateu
2808,fusao
2799,largo
2793,barao
2786,braga
2785,samba
2772,mente
2750,dedos
2750,creio
2749,viana
2742,usada
2732,vinho
2724,artes
2703,lucia
2691,morro
2680,plena
2679,briga
2658,monte
2652,sente
2648,motta
2642,segue
2623,corre
2619,times
2608,motor
2593,ondas
2581,sitio
2573,parou
2565,reino
2563,bater
2554,fabio
2530,navio
2528,cujas
2527,ciclo
2526,matou
2519,bomba
2517,james
2503,sales
2481,porte
2479,amplo
2478,letra
2472,alema
2471,ponte
2462,firme
2461,moura
2449,salas
2448,heroi
2445,febre
2436,seres
2428,casar
2427,canal
2426,multa
2422,ricos
2421,forem
2414,fiesp
2412,itens
2409,justo
2405,tirou
2379,nocao
2375,gerar
2367,vivia
2364,penal
2364,acham
2355,juizo
2353,turma
2353,nobre
2351,salao
2340,safra
2332,mello
2318,micro
2316,nunes
2315,falei
2314,pires
2311,vozes
2301,droga
2279,barra
2273,suica
2270,arroz
2256,lutar
2254,bndes
2225,piano
2224,abreu
2222,sofre
2218,piaui
2212,daria
2211,pleno
2211,fluxo
2211,deixe
2211,aluno
2203,larga
2178,trama
2147,russo
2136,brito
2135,dores
2134,durou
2133,donos
2130,missa
2128,2.000
2127,surge
2125,banho
2120,sinto
2119,jogou
2116,sivam
2115,bento
2114,miami
2108,venha
2108,povos
2101,prado
2099,senso
2099,chave
2096,baile
2089,forro
2085,rigor
2083,grito
2074,perna
2071,etica
2070,nariz
2068,fique
2067,vende
2064,diria
2057,ativa
2051,couro
2047,junta
2044,virar
2035,vidro
2033,salto
2025,otimo
2019,indio
2016,fruto
2015,conto
2007,copia
1994,pagos
1994,mocas
1993,curta
1991,verba
1984,placa
1976,poema
1974,levam
1965,prato
1961,leito
1953,peixe
1947,menem
1946,unido
1946,pegou
1946,bordo
1938,morta
1935,graus
1932,linda
1931,viram
1930,genio
1929,redor
1916,toque
1914,vivos
1894,falam
1892,alerj
1891,viveu
1880,vossa
1880,1.000
1875,calma
1874,prata
1874,pauta
1874,justa
1867,lance
1864,cousa
1851,morar
1846,bispo
1844,lucas
1837,manda
1835,preta
1829,presa
1827,fraco
1825,disto
1821,olhou
1818,simon
1816,milho
1807,tende
1803,elias
1802,metas
1799,ocupa
1797,carmo
1795,album
