count,token
6752891,","
4203837,de
4171270,.
2551857,a
2151312,o
2114346,e
1916846,que
1657568,do
1381794,da
1201798,""""
1101363,em
815052,para
732561,com
721986,um
693814,no
621997,)
609840,os
607574,(
601871,não
584253,uma
577138,na
566414,«
564432,é
544053,»
497841,O
469566,se
452422,--
446784,dos
445822,por
416030,as
414828,A
375207,ao
342412,mais
337879,como
326354,:
305532,à
304274,foi
276719,das
241126,;
208821,sua
198809,pelo
188716,seu
187183,?
185618,ou
176450,ser
171312,!
170091,pela
163301,mas
149012,Em
148948,%
137589,ele
136810,'
135112,nos
135043,sobre
133084,entre
132330,governo
129937,também
127349,São
126394,...
126383,já
125769,até
124213,era
122379,Paulo
118354,tem
116506,Os
115120,E
114357,está
113107,anos
111238,dia
110886,ano
108667,são
108366,ainda
108186,Brasil
106426,mesmo
105718,Não
105545,muito
104046,quando
102745,disse
101614,presidente
100456,eu
98662,Rio
98073,sem
97056,No
92525,seus
91960,aos
91195,nas
88281,Mas
87429,às
86566,só
85648,dois
83771,depois
81161,É
77858,há
75386,ter
74998,contra
74755,pode
72751,me
71025,vai
69887,Da
69772,isso
68840,tempo
68789,ontem
67987,As
67481,ela
67237,onde
67213,foram
66251,país
65175,Folha
65118,todos
64793,porque
64043,bem
62627,vez
62459,hoje
62419,Na
62172,suas
60638,diz
60085,R$
59882,três
59334,fazer
58772,segundo
58074,Para
57241,apenas
57168,grande
56320,quem
55423,parte
55273,*
54871,primeiro
54477,outros
53477,mil
53020,maior
52853,casa
52735,US$
52144,lhe
51977,Segundo
51855,tinha
51537,vida
51350,então
51183,estava
51063,menos
51010,Estado
50645,pessoas
50510,dias
50438,sempre
50271,duas
50237,tudo
49780,outro
49478,estão
49079,assim
48606,José
48134,Ele
47978,política
47274,nem
47188,Com
46586,será
46583,cidade
45684,De
45440,esse
45292,todo
45243,essa
44955,cada
44885,novo
44820,Se
44003,deve
43946,caso
43854,Nacional
43840,pelos
43824,mundo
43783,antes
43752,primeira
42473,trabalho
41860,pouco
41758,meu
41705,Um
41600,tão
41415,Janeiro
41346,deputado
41023,minha
40548,qual
40340,1
40230,você
40059,milhões
39928,Câmara
39851,Por
39830,durante
39724,desde
39674,este
39625,agora
39376,mês
38873,havia
38741,Eu
38362,forma
38194,teve
37946,melhor
37720,2
37690,lado
37660,sendo
37611,ministro
37167,/
37117,Foi
37113,Como
36953,qualquer
36935,Carlos
36777,outubro
36594,eles
36561,lá
36214,nova
36089,partir
36036,nada
35888,mercado
35553,final
35209,Partido
35188,projeto
35112,vezes
35019,outra
34700,meio
34672,seja
34495,fim
34461,coisa
34425,quatro
34400,grupo
33917,João
33821,estado
33788,seguinte
33782,num
33706,gente
33619,empresa
33512,fez
33161,Local
33161,Federal
33008,sido
32959,nome
32938,alguns
32831,homem
32737,federal
32573,Fernando
32562,seria
32521,empresas
32508,novembro
32301,outras
32168,toda
31854,faz
31835,esta
31789,exemplo
31769,Reportagem
31657,aqui
31250,partido
31115,todas
31067,têm
30882,Uma
30762,processo
30741,janeiro
30658,noite
30626,após
30606,fora
30483,quase
30260,ver
30136,história
29811,EUA
29489,direito
29447,público
29425,mesma
29372,acordo
29186,20
29074,lugar
28954,mulher
28744,30
28705,programa
28634,passado
28608,meses
28441,numa
28350,candidato
28193,afirmou
27963,15
27950,República
27873,semana
27831,Quando
27829,Congresso
27446,sistema
27392,Comissão
27376,cerca
27353,dizer
27286,cinco
27271,relação
27234,dar
27135,março
27098,3
26873,poder
26655,momento
26547,quer
26547,início
26471,campanha
26440,número
26297,olhos
26282,além
26256,pelas
26220,Brasília
26190,movimento
26037,pois
25865,nacional
25817,dinheiro
25786,diretor
25776,Justiça
25720,brasileira
25678,filho
25667,passou
25652,mandato
25543,Ao
25493,fato
25336,dentro
25313,Que
25312,brasileiro
25252,frente
25241,dezembro
25237,fevereiro
25124,sob
25117,Henrique
25110,Banco
25037,conta
25029,podem
25003,porém
24915,desse
24831,período
24814,livro
24801,ficou
24659,bom
24615,jogo
24607,lei
24572,tanto
24478,área
24330,abril
24188,Maria
24078,maio
23899,próprio
23859,Silva
23856,nunca
23749,cargo
23697,grandes
23694,julho
23671,eram
23655,logo
23612,horas
23506,10
23222,preços
23181,capital
23119,eleições
22951,Estados
22858,nós
22836,Já
22797,FHC
22775,produção
22740,pai
22680,apoio
22503,ponto
22449,deste
22421,verdade
22277,volta
22254,Ministério
22145,recursos
22122,Há
21860,último
21748,tarde
21649,equipe
21638,países
21600,setor
21560,fosse
21501,região
21501,possível
21491,enquanto
21480,Sul
21471,quanto
21418,morte
